repo,file,line,verdict,confidence,reason
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_analytic.py,173,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
ultralytics/yolov5,cloned_repos/yolov5/utils/torch_utils.py,183,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
huggingface/transformers,cloned_repos/transformers/examples/pytorch/semantic-segmentation/run_semantic_segmentation_no_trainer.py,579,NO_SMELL,0.85,zero_grad present (zero_grad() found at lines [266])
pytorch/botorch,cloned_repos/botorch/test/utils/test_rounding.py,50,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,132,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/probability/test_utils.py,245,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
ultralytics/yolov5,cloned_repos/yolov5/utils/torch_utils.py,183,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,99,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,136,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/acquisition/multi_objective/test_monte_carlo.py,1460,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,126,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,136,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_analytic.py,848,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/utils/probability/test_utils.py,210,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_analytic.py,173,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,136,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,79,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_monte_carlo.py,473,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
huggingface/transformers,cloned_repos/transformers/examples/pytorch/summarization/run_summarization_no_trainer.py,651,AMBIGUOUS,0.65,"Possible intentional accumulation: multiple optimizers {'optimizer_grouped_parameters', 'optimizer'}, zero_grad only on {'optimizer'}"
pytorch/botorch,cloned_repos/botorch/test/models/transforms/test_input.py,680,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_fixed_feature.py,114,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/probability/test_utils.py,184,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/optim/closures/test_model_closures.py,51,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,136,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/probability/test_utils.py,181,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
huggingface/transformers,cloned_repos/transformers/examples/pytorch/image-classification/run_image_classification_no_trainer.py,476,AMBIGUOUS,0.65,"Possible intentional accumulation: multiple optimizers {'optimizer_grouped_parameters', 'optimizer'}, zero_grad only on {'optimizer'}"
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,174,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
huggingface/transformers,cloned_repos/transformers/examples/pytorch/question-answering/run_qa_no_trainer.py,851,AMBIGUOUS,0.65,"Possible intentional accumulation: multiple optimizers {'optimizer_grouped_parameters', 'optimizer'}, zero_grad only on {'optimizer'}"
ultralytics/yolov5,cloned_repos/yolov5/segment/train.py,318,NO_SMELL,0.85,"zero_grad present (zero_grad() found at lines [259, 302])"
